Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Male,2,No,Yes,No,A+,24,1,A+,25,1,A+,23,1,B,24,1,B,23,1,A+,24,1,A,25,1,A+,24,1,A-,23,1,3.69,1.735,1
Male,less than 1 hour,Yes,Yes,Yes,B+,22,1,B,21,1,A+,23,1,C,22,1,C,21,1,B+,22,1,B+,21,1,B+,20,1,A-,21,1,3.01,3.6,1
Female,6,No,No,No,A-,27,1,A+,28,1,A+,26,1,B,27,1,B,26,1,A,27,1,A,28,1,A+,27,1,A,26,1,3.69,3.19,1
Male,less than 1 hour,Yes,Yes,Yes,A+,30,1,A+,29,1,A,31,1,A,30,1,B,31,1,B+,30,1,A+,29,1,A+,30,1,A,31,1,3.82,3.3,1
Female,6,No,No,Yes,B-,24,1,B,23,1,A-,25,1,A,24,1,C+,25,1,B+,24,1,B+,23,1,B,24,1,B+,25,1,3.15,3.74,1
Male,5,Yes,No,No,B,29,1,B,30,1,B+,28,1,C+,29,1,C,30,1,B-,29,1,B-,28,1,B-,29,1,A-,30,1,2.8,3.395,1
Male,3,Yes,No,Yes,B-,31,1,C+,30,1,A+,29,1,C-,31,1,B,30,1,B-,31,1,A,30,1,A,29,1,B+,31,1,2.98,2.87,0
Male,4,No,No,Yes,C-,26,1,D+,27,1,A+,25,1,C-,26,1,E,25,1,D+,26,1,E,27,1,C,26,1,B+,25,1,1.55,2.98,0
Female,1,Yes,No,No,A,22,1,A,21,1,A+,20,1,B+,21,1,C-,22,1,A,21,1,A,20,1,A+,21,1,B+,20,1,3.51,2.525,0
Male,1,No,No,Yes,B-,27,1,A,28,1,A+,26,1,C+,27,1,C-,28,1,C,27,1,A,28,1,A,29,1,B+,28,1,3.06,1.665,0
Female,3,Yes,No,No,A,30,1,A,29,1,A+,31,1,A,30,1,A+,31,1,A+,30,1,A+,29,1,A+,30,1,A+,31,1,4,3.43,1
Female,6,Yes,No,Yes,ab,25,0,ab,26,0,ab,24,1,ab,25,0,ab,24,0,ab,25,1,ab,26,0,ab,25,0,ab,24,0,0,3.86,0
Male,less than 1 hour,Yes,Yes,Yes,A,24,1,B,23,1,A,25,1,C,24,1,C,23,1,B,24,1,B,25,1,A+,24,1,A+,23,1,3.13,2.645,1
Female,3,No,No,Yes,A+,29,1,A+,28,1,A+,30,1,C+,29,1,C+,30,1,A+,29,1,A,28,1,A+,29,1,B,30,1,3.41,1.325,1
