Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2221,CO2221_CA,CO2221_attendance,CO2222,CO2222_CA,CO2222_attendance,CO2212,CO2212_CA,CO2212_attendance,CO2223,CO2223_CA,CO2223_attendance,CO2213,CO2213_CA,CO2213_attendance,CO2224,CO2224_CA,CO2224_attendance,CO2214,CO2214_CA,CO2214_attendance,CO2225,CO2225_CA,CO2225_attendance,CO2226,CO2226_CA,CO2226_attendance,4sem_gpa,3rd_sem_GPA,4sem_pass/fail
Female,3,No,No,Yes,B,28,1,B+,30,1,A-,29,1,A,30,1,A-,29,1,B-,28,1,A,29,1,C+,29,1,C,30,1,3.06,2.02,1
Male,4,Yes,No,No,A+,21,1,A-,20,1,A,21,1,A+,20,1,A-,21,1,B-,22,1,A-,20,1,B+,22,1,C,21,1,3.39,3.103333333,1
Female,2,No,No,No,B-,30,1,B+,29,1,A-,31,1,B+,30,1,C+,31,1,C,30,1,A,29,1,B,31,1,E,31,1,2.57,3.28,0
Female,less than 1 hour,Yes,No,No,B,23,1,A+,22,1,A+,23,1,B-,24,1,C,25,1,C,24,1,B,23,1,B+,24,1,C+,24,1,2.91,3.186666667,1
Female,4,No,No,No,D+,28,1,C+,29,1,B-,27,1,C+,28,1,D,27,1,C-,28,1,C+,29,1,C,27,1,D,28,1,1.81,2.873333333,0
Male,3,Yes,No,No,C,27,1,B-,25,1,B,26,1,A-,25,1,C,26,1,C,27,1,B,26,1,B-,26,1,C-,25,1,2.5,2.703333333,0
Male,less than 1 hour,No,No,Yes,B+,30,1,A+,28,1,B+,29,1,B+,30,1,C,29,1,B-,28,1,B,29,1,B+,29,1,C-,30,1,2.99,2.713333333,0
Male,1,No,No,Yes,B+,22,1,B+,20,1,A,21,1,A-,22,1,B+,21,1,C,20,1,B,21,1,B,21,1,C,22,1,2.99,3.056666667,1
Male,3,No,No,No,B+,29,1,B+,27,1,A-,28,1,B,27,1,B,28,1,C-,29,1,B,28,1,B+,28,1,D+,29,1,2.77,2.71,0
Female,4,No,No,No,D+,26,1,C,24,1,ab,25,0,C+,26,1,D+,25,1,ab,24,0,B+,25,1,D+,25,1,E,26,1,1.23,2.77,0
Male,2,No,Yes,Yes,B+,30,1,A,29,1,A,31,1,A+,30,1,B,31,1,A,30,1,A+,29,1,B+,31,1,C,31,1,3.48,2.83,1
